CPU Name,Benchmark,Price,Socket,TDP,Brand
AMD Ryzen 9 9900X3D,12366,600,AM5,120,AMD
AMD Ryzen 7 9800X3D,12189,500,AM5,120,AMD
AMD Ryzen 9 9950X3D,11358,700,AM5,170,AMD
AMD Ryzen 9 7900X3D,10857,600,AM5,120,AMD
Intel Core Ultra 9 285K,10599,600,LGA1851,125,Intel
AMD Ryzen 5 7600X3D,10539,600,AM5,65,AMD
AMD Ryzen 7 7800X3D,10295,400,AM5,120,AMD
AMD Ryzen 9 7950X3D,9822,700,AM5,120,AMD
Intel Core Ultra 5 245K,9704,300,LGA1851,125,Intel
Intel Core Ultra 7 265K,9531,350,LGA1851,125,Intel
Intel Core Ultra 7 265KF,9440,400,LGA1851,125,Intel
Intel Core Ultra 5 235,9439,280,LGA1851,65,Intel
Intel Core Ultra 5 245KF,9258,300,LGA1851,125,Intel
Intel Core Ultra 9 285,8861,600,LGA1851,65,Intel
Intel Core i9-14900KS,8821,700,LGA1700,150,Intel
Intel Core i9-13900KS,8563,475,LGA1700,150,Intel
AMD Ryzen 7 5800X3D,8375,650,AM5,105,AMD
AMD Ryzen 9 9900X,8202,500,AM5,120,AMD
Intel Core i9-14900KF,8093,400,LGA1700,125,Intel
Intel Core i9-14900K,8038,450,LGA1700,125,Intel
Intel Core i9-13900K,7944,450,LGA1700,125,Intel
Intel Core Ultra 7 265F,7825,370,AM5,65,Intel
AMD Ryzen 7 5700X3D,7821,300,AM4,105,AMD
Intel Core i7-14700KF,7628,350,LGA1700,125,Intel
Intel Core i9-13900KF,7616,400,LGA1700,125,Intel
Intel Core Ultra 5 225F,7568,250,LGA1851,65,Intel
Intel Core i7-14700K,7461,400,LGA1700,125,Intel
AMD Ryzen 9 7900X,7405,350,AM5,170,AMD
Intel Core i9-14900F,7321,560,LGA1700,65,Intel
AMD Ryzen 9 7900,7320,400,AM5,65,AMD
Intel Core i9-13900F,7249,550,LGA1700,65,Intel
Intel Core i5-14600KF,7010,220,LGA1700,125,Intel
Intel Core i5-14600K,7000,220,LGA1700,125,Intel
AMD Ryzen 5 9600X,6978,240,AM5,65,AMD
AMD Ryzen 9 9950X,6860,700,AM5,170,AMD
Intel Core i7-13700KF,6821,400,LGA1700,125,Intel
Intel Core i7-13700K,6749,350,LGA1700,125,Intel
Intel Core i9-14900,6725,500,LGA1700,65,Intel
Intel Core i9-13900,6684,600,LGA1700,65,Intel
Intel Core i5-13600K,6543,200,LGA1700,125,Intel
Intel Core i5-13600KF,6486,210,LGA1700,125,Intel
Intel Core i7-14700F,6460,300,LGA1700,65,Intel
AMD Ryzen 9 7950X,6401,500,AM5,170,AMD
AMD Ryzen 5 7600X,6357,200,AM5,105,AMD
AMD Ryzen 7 9700X,6241,330,AM5,65,AMD
Intel Core i9-12900KS,6217,400,LGA1700,150,Intel
Intel Core i7-14700,6212,320,LGA1700,65,Intel
AMD Ryzen 5 7500F,6121,200,AM5,65,AMD
AMD Ryzen 5 7600,6106,200,AM5,65,AMD
Intel Core i7-13700F,5798,300,LGA1700,65,Intel
AMD Ryzen 7 7700X,5744,350,AM5,105,AMD
Intel Core i5-13490F,5670,150,LGA1700,65,Intel
Intel Core i7-13700,5537,320,LGA1700,65,Intel
AMD Ryzen 7 7700,5496,330,AM5,65,AMD
Intel Core i5-14500,5489,250,LGA1700,65,Intel
Intel Core i9-12900K,5487,300,LGA1700,125,Intel
Intel Core i9-12900KF,5298,270,LGA1700,125,Intel
Intel Core i5-13500,5191,250,LGA1700,65,Intel
AMD Ryzen 9 5900X,5028,260,AM4,105,AMD
Intel Core i9-12900F,4839,360,LGA1700,65,Intel
AMD Ryzen 5 5600T,4772,140,AM4,65,AMD
AMD Ryzen 5 5600XT,4744,150,AM4,65,AMD
Intel Core i5-14400F,4721,130,LGA1700,65,Intel
Intel Core i9-12900,4647,430,LGA1700,65,Intel
AMD Ryzen 5 5600,4614,110,AM4,65,AMD
Intel Core i5-12600KF,4578,170,LGA1700,125,Intel
Intel Core i7-12700K,4499,200,LGA1700,125,Intel
Intel Core i5-14400,4488,180,LGA1700,65,Intel
AMD Ryzen 5 5600X,4480,150,AM4,65,AMD
Intel Core i7-12700KF,4458,200,LGA1700,125,Intel
Intel Core i5-12600K,4428,180,LGA1700,125,Intel
Intel Core i5-13400F,4400,140,LGA1700,65,Intel
AMD Ryzen 9 5900XT,4311,330,AM4,105,AMD
AMD Ryzen 5 8600G,4297,190,AM5,65,AMD
AMD Ryzen 9 5950X,4285,350,AM4,105,AMD
AMD Ryzen 9 3900XT,4239,250,AM4,105,AMD
AMD Ryzen 7 5800XT,4214,170,AM4,105,AMD
Intel Core i5-12490F,4138,120,LGA1700,65,Intel
Intel Core i7-12700,4101,260,LGA1700,65,Intel
AMD Ryzen 5 8500G,4083,150,AM5,65,AMD
AMD Ryzen 7 5700X,4062,150,AM4,65,AMD
AMD Ryzen 5 8400F,4052,150,AM5,65,AMD
AMD Ryzen 9 3900X,4048,180,AM4,105,AMD
Intel Core i5-12600,3998,270,LGA1700,65,Intel
AMD Ryzen 7 8700G,3966,300,AM5,65,AMD
Intel Core i7-12700F,3960,240,LGA1700,65,Intel
AMD Ryzen 7 8700F,3954,260,AM5,65,AMD
AMD Ryzen 7 5800X,3943,170,AM4,105,AMD
Intel Core i5-13400,3937,160,LGA1700,65,Intel
AMD Ryzen 5 3500X,3691,150,AM4,65,AMD
AMD Ryzen 5 3600X,3628,100,AM4,95,AMD
Intel Core i5-12500,3588,180,LGA1700,65,Intel
Intel Core i5-12400F,3552,110,LGA1700,65,Intel
AMD Ryzen 5 3600,3525,140,AM4,65,AMD
Intel Core i5-12400,3438,140,LGA1700,65,Intel
Intel Core i5-14600,3369,210,LGA1700,65,Intel
AMD Ryzen 7 3800X,3161,200,AM4,105,AMD